url,fid,name,nick,birth_date,height,weight,association,class,locality,country,gender,age,age_at_start,num_fights,career_span_years
/fighter/Conor-McGregor-29688,29688,Conor McGregor,Notorious,1988-07-14,68.0,145.0,SBG Ireland,Featherweight,Dublin,Ireland,Male,36,24.72826830937714,14.0,8.260095824777549
/fighter/Jon-Jones-27944,27944,Jon Jones,Bones,1987-07-19,76.0,205.0,Jackson-Wink MMA,Light Heavyweight,"Rochester, New York",United States,Male,37,21.059548254620122,23.0,16.27104722792608
/fighter/Holly-Holm-75125,75125,Holly Holm,The Preacher's Daughter,1981-10-17,68.0,135.0,Jackson-Wink MMA,Bantamweight,"Albuquerque, New Mexico",United States,Female,43,33.36618754277892,15.0,9.122518822724162
/fighter/Dominick-Cruz-12107,12107,Dominick Cruz,The Dominator,1985-09-03,68.0,134.0,Alliance MMA,Bantamweight,"San Diego, California",United States,Male,39,25.82614647501711,10.0,11.11567419575633
/fighter/Demetrious-Johnson-45452,45452,Demetrious Johnson,Mighty Mouse,1986-08-13,63.0,125.0,AMC Pankration,Flyweight,"Kirkland, Washington",United States,Male,38,24.48186173853525,17.0,7.493497604380561
/fighter/Ronda-Rousey-73073,73073,Ronda Rousey,Rowdy,1987-02-01,66.0,135.0,Team Hayastan,Bantamweight,"Santa Monica, California",United States,Female,38,26.06160164271047,8.0,3.8494182067077345
/fighter/Fabricio-Werdum-8390,8390,Fabricio Werdum,Vai Cavalo,1977-07-30,76.0,242.0,Werdum Combat Team,Heavyweight,"Porto Alegre, Rio Grande do Sul",Brazil,Male,47,29.724845995893222,18.0,13.262149212867898
/fighter/Robbie-Lawler-2245,2245,Robbie Lawler,Ruthless,1982-03-20,71.0,170.0,American Top Team,Welterweight,"Granite City, Illinois",United States,Male,43,20.139630390143736,25.0,21.16084873374401
/fighter/Jose-Aldo-11506,11506,Jose Aldo,Scarface,1986-09-09,67.0,145.0,Nova Uniao,Featherweight,"Manaus, Amazonas",Brazil,Male,38,24.637919233401778,22.0,13.434633812457221
/fighter/Chad-Mendes-38393,38393,Chad Mendes,Money,1985-05-01,66.0,145.0,Team Alpha Male,Featherweight,"Hanford, California",United States,Male,40,25.765913757700204,14.0,7.8959616700889805
/fighter/Dustin-Poirier-50529,50529,Dustin Poirier,The Diamond,1989-01-19,69.0,155.0,American Top Team,Lightweight,"Carencro, Louisiana",United States,Male,36,21.949349760438057,30.0,13.415468856947296
/fighter/Marcus-Brimage-21618,21618,Marcus Brimage,The Bama Beast,1985-04-06,64.0,135.0,American Top Team,Bantamweight,"Birmingham, Alabama",United States,Male,40,26.65845311430527,8.0,3.62217659137577
