url,fid,name,nick,birth_date,height,weight,association,class,locality,country,gender,age
/fighter/Conor-McGregor-29688,29688,Conor McGregor,Notorious,1988-07-14,68.0,145.0,SBG Ireland,Featherweight,Dublin,Ireland,Male,36
/fighter/Jon-Jones-27944,27944,Jon Jones,Bones,1987-07-19,76.0,205.0,Jackson-Wink MMA,Light Heavyweight,"Rochester, New York",United States,Male,37
/fighter/Holly-Holm-75125,75125,Holly Holm,The Preacher's Daughter,1981-10-17,68.0,135.0,Jackson-Wink MMA,Bantamweight,"Albuquerque, New Mexico",United States,Female,43
/fighter/Dominick-Cruz-12107,12107,Dominick Cruz,The Dominator,1985-09-03,68.0,134.0,Alliance MMA,Bantamweight,"San Diego, California",United States,Male,39
/fighter/Demetrious-Johnson-45452,45452,Demetrious Johnson,Mighty Mouse,1986-08-13,63.0,125.0,AMC Pankration,Flyweight,"Kirkland, Washington",United States,Male,38
/fighter/Ronda-Rousey-73073,73073,Ronda Rousey,Rowdy,1987-02-01,66.0,135.0,Team Hayastan,Bantamweight,"Santa Monica, California",United States,Female,38
/fighter/Fabricio-Werdum-8390,8390,Fabricio Werdum,Vai Cavalo,1977-07-30,76.0,242.0,Werdum Combat Team,Heavyweight,"Porto Alegre, Rio Grande do Sul",Brazil,Male,47
/fighter/Robbie-Lawler-2245,2245,Robbie Lawler,Ruthless,1982-03-20,71.0,170.0,American Top Team,Welterweight,"Granite City, Illinois",United States,Male,43
/fighter/Jose-Aldo-11506,11506,Jose Aldo,Scarface,1986-09-09,67.0,145.0,Nova Uniao,Featherweight,"Manaus, Amazonas",Brazil,Male,38
/fighter/Chad-Mendes-38393,38393,Chad Mendes,Money,1985-05-01,66.0,145.0,Team Alpha Male,Featherweight,"Hanford, California",United States,Male,40
/fighter/Dustin-Poirier-50529,50529,Dustin Poirier,The Diamond,1989-01-19,69.0,155.0,American Top Team,Lightweight,"Carencro, Louisiana",United States,Male,36
